"Date","City","Type","Observations"
"2019-03-31","Otago and South/ Mid Canterbury","Orders",""
"2019-03-31","Otago and South/ Mid Canterbury","Total",""
"2019-03-31","Southland/ Central Otago","Sentences","738"
"2019-03-31","Southland/ Central Otago","Orders","178"
"2019-03-31","Southland/ Central Otago","Total","916"
"2019-03-31","Southland and Central/ South Otago","Sentences",""
"2019-03-31","Southland and Central/ South Otago","Orders",""
"2019-03-31","Southland and Central/ South Otago","Total",""
"2019-03-31","Taitokerau","Sentences","1418"
"2019-03-31","Taitokerau","Orders","495"
"2019-03-31","Taitokerau","Total","1913"
"2019-03-31","Taupo/ Rotorua","Sentences","1413"
"2019-03-31","Taupo/ Rotorua","Orders","466"
"2019-03-31","Taupo/ Rotorua","Total","1879"
"2019-03-31","Waikato","Sentences","2889"
"2019-03-31","Waikato","Orders","826"
"2019-03-31","Waikato","Total","3715"
"2019-03-31","Wairarapa/ Manawatu","Sentences","1489"
"2019-03-31","Wairarapa/ Manawatu","Orders","427"
"2019-03-31","Wairarapa/ Manawatu","Total","1916"
"2019-03-31","Waitemata","Sentences","2292"
"2019-03-31","Waitemata","Orders","536"
"2019-03-31","Waitemata","Total","2828"
"2019-03-31","Wellington","Sentences","1903"
"2019-03-31","Wellington","Orders","424"
"2019-03-31","Wellington","Total","2327"
"2019-03-31","Whanganui/ Taranaki","Sentences","1226"
"2019-03-31","Whanganui/ Taranaki","Orders","357"
"2019-03-31","Whanganui/ Taranaki","Total","1583"
"2019-03-31","Other","Sentences","0"
"2019-03-31","Other","Orders","0"
"2019-03-31","Other","Total","0"
"2019-03-31","Auckland Region","Sentences",""
"2019-03-31","Auckland Region","Orders",""
"2019-03-31","Auckland Region","Total",""
"2019-03-31","Bay of Plenty Region","Sentences",""
"2019-03-31","Bay of Plenty Region","Orders",""
"2019-03-31","Bay of Plenty Region","Total",""
"2019-03-31","Canterbury Region","Sentences",""
"2019-03-31","Canterbury Region","Orders",""
"2019-03-31","Canterbury Region","Total",""
"2019-03-31","East Coast Region","Sentences",""
"2019-03-31","East Coast Region","Orders",""
"2019-03-31","East Coast Region","Total",""
"2019-03-31","Manukau Region","Sentences",""
"2019-03-31","Manukau Region","Orders",""
"2019-03-31","Manukau Region","Total",""
"2019-03-31","Nelson / Marlborough / West Coast Region","Sentences",""
"2019-03-31","Nelson / Marlborough / West Coast Region","Orders",""
"2019-03-31","Nelson / Marlborough / West Coast Region","Total",""
"2019-03-31","Northland Region","Sentences",""
"2019-03-31","Northland Region","Orders",""
"2019-03-31","Northland Region","Total",""
"2019-03-31","Otago / Southland Region","Sentences",""
"2019-03-31","Otago / Southland Region","Orders",""
"2019-03-31","Otago / Southland Region","Total",""
"2019-03-31","Taranaki / Whanganui / Manawatu Region","Sentences",""
"2019-03-31","Taranaki / Whanganui / Manawatu Region","Orders",""
"2019-03-31","Taranaki / Whanganui / Manawatu Region","Total",""
"2019-03-31","Waikato Region","Sentences",""
"2019-03-31","Waikato Region","Orders",""
"2019-03-31","Waikato Region","Total",""
"2019-03-31","Wellington Region","Sentences",""
"2019-03-31","Wellington Region","Orders",""
"2019-03-31","Wellington Region","Total",""
"2019-06-30","Auckland","Sentences","2037"
"2019-06-30","Auckland","Orders","661"
"2019-06-30","Auckland","Total","2698"
"2019-06-30","Bay of Plenty","Sentences","1716"
"2019-06-30","Bay of Plenty","Orders","415"
"2019-06-30","Bay of Plenty","Total","2131"
"2019-06-30","Canterbury","Sentences","2542"
"2019-06-30","Canterbury","Orders","673"
"2019-06-30","Canterbury","Total","3215"
"2019-06-30","East Coast","Sentences","1958"
"2019-06-30","East Coast","Orders","489"
"2019-06-30","East Coast","Total","2447"
"2019-06-30","Manukau","Sentences","3566"
"2019-06-30","Manukau","Orders","974"
"2019-06-30","Manukau","Total","4540"
